RunId,iteration,Step,N_floors,N_elevators,peak_hour,backup_power,door_time,capacity,vibration,noise,speed,Avg_Wait_Time,Avg_Journey_Time,Avg_Satisfaction,Crowding
0,0,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,64.73207796385564,85.64200695281245,3.929449445839186,0.0
1,0,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,54.89887284122255,74.6846561570858,4.088947987466564,0.125
2,0,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.040258783384772,31.548367446634604,4.715995686943587,0.0
3,0,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.670269623805897,31.945696631931348,4.7054955062699015,0.0
4,1,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,66.48179395495785,88.23994136006921,3.928847364423637,0.25
5,1,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,60.829489488467715,80.38494994813165,3.991360422662487,0.1875
6,1,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.030997477874216,32.569940674072335,4.6994833753687635,0.0
7,1,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.565331437618763,33.06807639889499,4.69057780937302,0.0
8,2,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,62.76516780076075,83.89211889770803,3.964158785104153,0.25
9,2,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,68.11004548430294,89.1729585863094,3.873938552710115,0.0625
10,2,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.17196263825995,31.852766136144478,4.713800622695667,0.0
11,2,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.87645376127282,32.596602265679856,4.702059103978787,0.0
12,3,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,64.50620063371977,85.41693711733463,3.9637449524459836,0.0
13,3,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,71.81285757011574,93.73328335904164,3.834910156841374,0.125
14,3,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,16.877716426407833,31.182713847975513,4.718704726226536,0.0
15,3,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.410617285607824,31.762414319633184,4.70982304523987,0.0
16,4,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,59.924120322029495,80.65129413376424,4.0183316761473264,0.0
17,4,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,66.3649494069182,88.32042311399809,3.917326143696184,0.0625
18,4,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.134324153658085,32.75198150822195,4.697761264105699,0.0625
19,4,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.434082721429743,33.451641182309395,4.692765287976171,0.0
20,5,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,73.00572622602847,96.20842791168364,3.8552663869696326,0.0
21,5,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,71.08240907490087,94.10076018859829,3.8536258416374225,0.125
22,5,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.59908016547019,32.933455172607246,4.690015330575497,0.0
23,5,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.153887012237103,32.74022572149897,4.697435216462716,0.0625
24,6,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,70.74131645008092,92.36428071188948,3.8391276899393425,0.1875
25,6,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,68.39557804559313,90.37753204260953,3.8865527815413574,0.1875
26,6,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.346639151034093,31.997402630081826,4.710889347482765,0.0
27,6,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.895633252409755,32.61560610294066,4.701739445793171,0.0
28,7,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,59.45356951239573,80.03275284506735,4.016671353902766,0.0625
29,7,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,70.95249560552804,93.56895618055479,3.843935591733893,0.0625
30,7,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.815486938381063,33.372836163490135,4.686408551026982,0.0
31,7,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.554667410104052,32.33720289002734,4.707422209831599,0.0
32,8,3600,6,2,True,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,60.31610917296453,81.02288102540352,4.002283299421636,0.125
33,8,3600,6,2,True,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,62.78201529353147,84.35112615098062,3.9647946505747216,0.0
34,8,3600,6,2,False,True,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,18.99926478134943,33.833186364831924,4.683345586977509,0.0
35,8,3600,6,2,False,False,10.605633802816902,8,1.0123456790123457,55.94736842105263,3.0,17.45063697271091,32.07864038320587,4.709156050454817,0.0625
